id,id_поста,дата_поста,день_недели,количество_лайков,текст_поста
1,1292,2025-09-24 22:10:33,3,16,"Нейрофотографии) вышло задорно, со вкусом. Нейросеть постаралась 😁 если хотите себе необычную фотосессию обращайтесь к 👇👇👇 https://vk.com/elenamilovidnaya"
2,1291,2025-09-10 23:40:33,3,1,Посетил центральный матч тура кубка России 🇷🇺 Кристалл-МЭЗТ (Борисоглебск) 1:0 Спартак (Тамбов)
3,1290,2025-09-09 20:22:44,2,1,[Текст отсутствует]
4,1289,2025-09-07 13:04:33,7,0,[Текст отсутствует]
5,1288,2025-08-31 12:28:05,7,26,"5 30 утра, встречали последний рассвет лета ☀️ 7 км в легком темпе с перерывами на любование пейзажами 🌫️"
6,1287,2025-08-30 22:36:19,6,23,"30.08 суббота. Центральный парк. 5 верст, очередной забег 🏃а что же будет завтра 🤔🤫"
7,1286,2025-08-22 18:27:46,5,6,"В возрасте 78 лет скончался певец Ярослав Евдокимов, автор и исполнитель песни ""Фантазер"" 
Песня ушла в народ и считается одной из культовых"
8,1285,2025-08-20 21:41:42,3,17,"Посетил матч кубка России «Кристалл-МЭЗТ» / «Муром»
Победа за командой из Борисоглебска 🏆"
9,1281,2025-07-13 11:27:48,7,29,"12.07 поучаствовал в очередном старте на 5 км. Самый тяжелый забег в жару, однако испытание пройдено и снова заряд положительных эмоций получен 😌"
10,1280,2025-06-29 20:09:17,7,14,"28.06.2025 - в 9 утра, совместно с беговым клубом осуществили пробежку 5 км по центральному парку! Было здорово 👍 Буду участвовать и дальше в подобных мероприятиях 🙂"
11,1279,2025-06-14 22:14:07,6,4,Нет слов) это нужно просто послушать 🙂
12,1278,2025-06-12 20:33:02,4,22,"Выбираем лучшее фото, хотя разве можно выбирать, они все прекрасны 😁"
13,1277,2025-06-08 21:31:23,7,5,"Немного записал композиции с фестиваля, это лишь малая часть, в течении всего дня выступали самые разные артисты, в данном фрагменте в основном Niletto, как хэдлайнер этого вечера, смотрим 🙂"
14,1274,2025-06-08 12:51:49,7,32,"Соревнования по пляжному волейболу на Кудыкиной горе, был интересный опыт игры на пляжке, получены позитивные эмоции !🙂"
15,1273,2025-06-08 09:48:24,7,14,Рык Горыныча
16,1272,2025-06-08 08:57:54,7,13,"Niletto, Кудыкина Гора 7.06.2025 фестиваль спорт и музыка 
Песня Любимка )"
17,1271,2025-06-01 13:15:13,7,15,Выкладываю крайние фото на данный момент 😀
18,1270,2025-06-01 11:13:29,7,7,Встретили рассвет 😊
19,1268,2025-06-01 08:20:28,7,27,"Утро воскресенья 4:00, у всех сон, а у нас пробежка на 12 км🙂 первые 10 фото в студию !)"
20,1266,2025-05-18 12:22:43,7,29,А вот и профессиональные фотографии подъехали 😌
21,1264,2025-05-17 18:33:38,6,24,"Приняли участие в стальном характере на 7 км, спасибо команде, все большие молодцы, прошли это испытание с честью, взаимовыручка и поддержка друг друга подстегивала коллектив к достижению поставленной цели! Мы справились, остались одни положительные эмоции. Газпромбанк рулит 🤟"
22,1263,2025-05-14 09:16:53,3,7,"Следующий контент с Чечни —поездка на катере, все экстремальные моменты были не сняты по понятным причинам 😀🙂"
23,1257,2025-05-11 20:59:23,7,33,[Текст отсутствует]
24,1256,2025-05-11 20:55:18,7,14,"Впервые путешествую таким образом, автобусный тур до Чечни, Дагестана, дорогу можно потерпеть ради таких эмоций! Собралась огромная группа из 50-ти человек, однако организаторы в лице [id330175821|Михаил Гаевский] и [id27292907|Дмитрий Мануковский] справились на ура! Познакомился с отличными людьми, увидел, даже открыл для себя республику с разных сторон. Море впечатлений, ярких и незабываемых локаций! А главное хорошо и нескучно провел свое время🙂
#нескучныйдень"
